ID,Name,Title,Category,Product Type,Chemistry,Chemistry Confidence,Industry,Description,Features,Applications,Specifications,Technical Details,Image URL,PDF Links
"c150","C150 – CA COMPLIANT HIGH SOLIDS CONTACT ADHESIVE","C150 – CA COMPLIANT CONTACT ADHESIVE","BOND","Adhesive","Acrylic (incl. PSA)","Medium","industrial","ForzaBOND™ C150 is a quick tack, sprayable adhesive formulated for bonding polystyrene foam to itself and various other substrates.","High Solids Content; CA Compliant; Excellent Adhesion; Low VOC","Furniture Manufacturing; Automotive Interior; Industrial Assembly; Construction","type: High Solids Contact Adhesive; viscosity: 1500-2200 cps; solids: 40-45%; flashPoint: >200°F; potLife: 10 hours; cureTime: 24-48 hours; temperatureRange: -40°F to +180°F; Compatible with: Wood, Metal, Plastic, Fabric, Foam","density: 9.2 lbs/gal; pH: 6.8-7.2; color: Amber; odor: Low; shelfLife: 15 months; storageConditions: Store at 60-80°F, keep sealed","/product-images/c150.png",""
"c331","C331 – NON-FLAMMABLE CONTACT ADHESIVE","C331 – NON-FLAMMABLE SPRAYABLE CONTACT ADHESIVE","BOND","Adhesive","Unknown","Low","industrial","ForzaBOND™ C331 is a non-flammable high-performance spray contact adhesive.","Non-Flammable; Safe Handling; Low Toxicity; Clean Application","Electronics Assembly; Aerospace; Medical Equipment; Clean Room Applications","type: Non-Flammable Contact Adhesive; viscosity: 800-1200 cps; solids: 25-30%; flashPoint: Non-Flammable; potLife: 8 hours; cureTime: 24-48 hours; temperatureRange: -20°F to +160°F; Compatible with: Metal, Plastic, Wood, Fabric, Paper","density: 8.0 lbs/gal; pH: 6.5-7.0; color: Clear to Light Blue; odor: Minimal; shelfLife: 12 months; storageConditions: Store at 50-80°F, keep container closed","/product-images/c331.png","/TDS/1. Industrial/C331/TDS/FOR EMAIL FORZA_V2_C331_TDS_DRUM_5.17.24.pdf; /TDS/1. Industrial/C331/TDS/FORZA_V2_C331_TDS_DRUM_5.17.24.pdf; /TDS/2. Marine/M-C283 (C331)/TDS/FOR EMAIL FORZA_V2_M-C283_TDSMarineSausage_9.16.24.pdf; /TDS/3. Transportation/T-C225 (C331)/TDS/FOR EMAIL FORZA_V3_T-C225_TDS_Pail_8.5.24.pdf; /TDS/6. Insulation/R-C661 (C331)/TDS/FOR EMAIL FORZA_V2_R-C661_TDS_DRUM_9.4.24.pdf; /TDS/6. Insulation/R-C661 (C331)/TDS/FORZA_V2_R-C661_TDS_DRUM_9.4.24.pdf; /TDS/7. Construction/C-C551 (C331)/TDS/FOR EMAIL FORZA_V1_C-C551_TDS_Pail_8.5.24.pdf; /TDS/7. Construction/C-C551 (C331)/TDS/FORZA_V1_C-C551_TDS_Pail_8.5.24.pdf"
"frp","FRP – ROLLABLE ADHESIVE","FRP – HYBRID POLYMER ROLLABLE FRP ADHESIVE","BOND","Adhesive","Acrylic (incl. PSA)","Medium","composites","ForzaBOND™ FRP Modified Silane Rollable Flooring Adhesive","Rollable Application; High Bond Strength; Chemical Resistant; Weather Resistant","FRP Installation; Composite Bonding; Industrial Paneling; Structural Bonding","type: Hybrid Polymer Rollable Adhesive; viscosity: 2000-3000 cps; solids: 45-50%; flashPoint: >200°F; potLife: 4 hours; cureTime: 12-24 hours; temperatureRange: -40°F to +200°F; Compatible with: FRP Panels, Fiberglass, Composite Materials, Metal, Wood","density: 9.5 lbs/gal; pH: 6.8-7.2; color: Gray; odor: Low; shelfLife: 12 months; storageConditions: Store at 60-80°F, keep container sealed","/product-images/frp.png",""
"i1000","I1000 – LOW-MEDIUM VISCOSITY LAMINATING ADHESIVE","I1000 – LOW-MEDIUM VISCOSITY LAMINATING ADHESIVE","BOND","Adhesive","Acrylic (incl. PSA)","Medium","industrial","ForzaBOND™ I1000 is a low/medium viscosity resin adhesive formulated to bond insulation and fibrous substrates.","Low Viscosity; Fast Drying; Good Penetration; Flexible Bond","Flexible Packaging; Label Manufacturing; Textile Lamination; Industrial Coating","type: Laminating Adhesive; viscosity: 500-1000 cps; solids: 20-25%; flashPoint: >180°F; potLife: 6 hours; cureTime: 8-16 hours; temperatureRange: -20°F to +160°F; Compatible with: Paper, Fabric, Film, Foil, Plastic","density: 7.8 lbs/gal; pH: 6.5-7.0; color: Clear to Amber; odor: Low; shelfLife: 15 months; storageConditions: Store at 50-80°F, keep container closed","/product-images/i1000.png",""
"oa4","OA4 – HIGH-STRENGTH MOISTURE CURE ECO-FRIENDLY ADHESIVE / SEALANT","OA4 – HYBRID POLYMER ADHESIVE/SEALANT","BOND","Adhesive","Modified Silane (MS Polymer/ Hybrid Polymer)","Medium","industrial","ForzaBOND™ OA4 is a non-hazardous, high-strength, single-part moisture cure adhesive.","Moisture Cure; Eco-Friendly; High Strength; Versatile","Automotive Assembly; Construction; Industrial Bonding; Sealing","type: Moisture Cure Adhesive/Sealant; viscosity: Thixotropic Paste; solids: 100%; flashPoint: Non-Flammable; potLife: 30 minutes; cureTime: 24-72 hours; temperatureRange: -40°F to +200°F; Compatible with: Metal, Glass, Plastic, Wood, Concrete","density: 12.5 lbs/gal; pH: Neutral; color: Gray; odor: Minimal; shelfLife: 12 months; storageConditions: Store at 40-80°F, keep container sealed","/product-images/oa4.png","/TDS/1. Industrial/OA4/TDS/FOR EMAIL ORZA_V6_OA4_TDS Industrial Sausage_5.16.25.pdf; /TDS/1. Industrial/OA4/TDS/FORZA_V6_OA4_TDS Industrial Sausage_5.16.25.pdf; /TDS/2. Marine/M-OA755 (OA4)/TDS/FOR EMAIL FORZA_V5_M-OA755_TDS 3_27_24.pdf; /TDS/2. Marine/M-OA755 (OA4)/TDS/FORZA_V5_M-OA755_TDS Industrial Canister_Aerosol 3_27_24.pdf; /TDS/3. Transportation/T-OA156 (OA4)/TDS/FOR EMAIL FORZA_V4_T-OA156_TDS Industrial Adhesive sealant_16_24.pdf; /TDS/3. Transportation/T-OA156 (OA4)/TDS/FOR EMAIL FORZA_V4_T-OA156_TDS Industrial Canister_Aerosol 4_16_24.pdf; /TDS/7. Construction/C-OA5 (OA4)/TDS/FOR EMAIL FORZA_V1_C-OA5_TDS Construction Canister_Aerosol 4_16_24.pdf; /TDS/7. Construction/C-OA5 (OA4)/TDS/FORZA_V1_C-OA5_TDS Construction Canister_Aerosol 4_16_24.pdf"
"oa75","OA75 – TROWELLABLE FLOORING ADHESIVE","OA75 – TROWELLABLE FLOORING ADHESIVE","BOND","Adhesive","Modified Silane (MS Polymer/ Hybrid Polymer)","Medium","industrial","ForzaBOND™ OA75 is a hardwood and bamboo adhesive and moisture control membrane all in one. This adhesive formulation maintains long term durability and moisture control properties, and it is easy to spread and clean off of prefinished flooring before and after cure. This adhesive has low VOC’s (as measured per EPA Method 24) and does NOT contain any water.","Trowellable; High Bond Strength; Moisture Resistant; Flexible","Flooring Installation; Carpet Bonding; Tile Adhesive; Industrial Flooring","type: Trowellable Flooring Adhesive; viscosity: Thick Paste; solids: 85-90%; flashPoint: Non-Flammable; potLife: 2 hours; cureTime: 24-48 hours; temperatureRange: -20°F to +180°F; Compatible with: Concrete, Wood Subfloor, Plywood, OSB","density: 14.2 lbs/gal; pH: Neutral; color: Gray; odor: Low; shelfLife: 12 months; storageConditions: Store at 50-80°F, keep container sealed","/product-images/oa75.png","/TDS/2. Marine/M-OA755 (OA4)/TDS/FOR EMAIL FORZA_V5_M-OA755_TDS 3_27_24.pdf; /TDS/2. Marine/M-OA755 (OA4)/TDS/FORZA_V5_M-OA755_TDS Industrial Canister_Aerosol 3_27_24.pdf"
"oa99","OA99 – BONDING PUTTY","OA99 – BONDING PUTTY","BOND","Adhesive","Modified Silane (MS Polymer/ Hybrid Polymer)","High","industrial","ForzaBOND™ OA99 is a high-strength pumpable polyester adhesive formulated for production environments in boatbuilding and general fiberglass fabrication.","Easy Application; Fast Curing; High Strength; Chemical Resistant","Industrial Assembly; Equipment Repair; Automotive Repair; Construction","type: Bonding Putty; viscosity: Putty Consistency; solids: 100%; flashPoint: Non-Flammable; potLife: 45 minutes; cureTime: 4-8 hours; temperatureRange: -40°F to +250°F; Compatible with: Metal, Plastic, Wood, Ceramic, Glass","density: 13.5 lbs/gal; pH: Neutral; color: Gray; odor: Minimal; shelfLife: 18 months; storageConditions: Store at 40-80°F, keep container sealed","/product-images/oa99.png",""
"osa","OSA – ADHESIVE PRIMER AND PROMOTER","OSA – ADHESIVE PRIMER AND PROMOTER","BOND","Adhesive","Silicone","Medium","industrial","ForzaBOND™ OSA is an Isopropyl alcohol-based cleaner/adhesion promoter.","Surface Preparation; Enhanced Adhesion; Fast Drying; Versatile","Automotive Assembly; Electronics; Industrial Bonding; Surface Preparation","type: Adhesive Primer and Promoter; viscosity: Low Viscosity Liquid; solids: 15-20%; flashPoint: >150°F; potLife: 4 hours; cureTime: 10-15 minutes; temperatureRange: -20°F to +160°F; Compatible with: Metal, Plastic, Glass, Ceramic, Difficult Surfaces","density: 7.5 lbs/gal; pH: 6.0-7.0; color: Clear to Amber; odor: Mild; shelfLife: 12 months; storageConditions: Store at 50-80°F, keep container closed","/product-images/osa.png","/TDS/1. Industrial/OSA/TDS/FOR EMAIL FORZA_V1_OSA_TDS_2_7_24.pdf; /TDS/1. Industrial/OSA/TDS/FORZA_V1_OSA_TDS_2_7_24.pdf; /TDS/2. Marine/M-OSA783 (OSA)/TDS/FOR EMAIL FORZA_V2_M-OSA783_TDS Industrial Canister_Aerosol 3_27_24.pdf; /TDS/2. Marine/M-OSA783 (OSA)/TDS/FORZA_V2_M-OSA783_TDS Industrial Canister_Aerosol 3_27_24.pdf; /TDS/3. Transportation/T-OSA155 (OSA)/TDS/FOR EMAIL FORZA_V4_T-OSA155_TDS_Sealant_PromoterPrimer-8.8.24.pdf; /TDS/7. Construction/C-OSA (OSA)/TDS/FOR EMAIL FORZA_V2_C-OSA_TDS_Construction_1_28_25.pdf; /TDS/7. Construction/C-OSA (OSA)/TDS/FORZA_V2_C-OSA_TDS_Construction_1_28_25.pdf"
"os24","OS24 – HIGH-STRENGTH MOISTURE-CURE SINGLE-PART THIXOTROPIC STRUCTURAL ADHESIVE / SEALANT","OS24 – ULTRA HIGH-STRENGTH HYBRID POLYMER STRUCTRUAL ADHESIVE","BOND","Adhesive","Silicone","Medium","industrial","ForzaBOND™ OS24 is a non-hazardous moisture cure single-part structural adhesive/sealant.","Structural Strength; Moisture Cure; Thixotropic; Versatile","Structural Bonding; Automotive Assembly; Construction; Industrial Sealing","type: Structural Adhesive/Sealant; viscosity: Thixotropic Paste; solids: 100%; flashPoint: Non-Flammable; potLife: 30 minutes; cureTime: 24-72 hours; temperatureRange: -40°F to +200°F; Compatible with: Metal, Glass, Plastic, Wood, Concrete","density: 12.8 lbs/gal; pH: Neutral; color: Gray; odor: Minimal; shelfLife: 12 months; storageConditions: Store at 40-80°F, keep container sealed","/product-images/os24.png","/TDS/1. Industrial/OS2/TDS/FOR EMAIL FORZA_V7_OS2_TDS Industrial Sausage_5_5_25.pdf; /TDS/1. Industrial/OS2/TDS/FOR EMAIL FORZA_Vx_OS2WT_TDS Cartridge_6_20_25.pdf; /TDS/1. Industrial/OS2/TDS/FORZA_V7_OS2_TDS Industrial Sausage_5_5_25.pdf; /TDS/1. Industrial/OS2/TDS/FORZA_Vx_OS2WT_TDS Cartridge_6_20_25.pdf; /TDS/1. Industrial/OS24/TDS/FOR EMAIL FORZA_V6_OS24_TDS Industrial Sausage_4_16_24.pdf; /TDS/1. Industrial/OS24/TDS/FORZA_V6_OS24_TDS Industrial Sausage_4_16_24.pdf; /TDS/2. Marine/M-OS764 (OS24)/TDS/FOR EMAIL FORZA_V4_M-OS764_TDS Industrial Canister_Aerosol 4_10_24.pdf; /TDS/2. Marine/M-OS764 (OS24)/TDS/FORZA_V4_M-OS764_TDS Industrial Canister_Aerosol 4_10_24.pdf; /TDS/3. Transportation/T-OA152 (OS24)/TDS/FOR EMAIL FORZA_V5_T-OA152_TDS Industrial Canister_Aerosol 4_16_24.pdf; /TDS/7. Construction/C-OA98 (OS24)/TDS/FOR EMAIL FORZA_V1_C-OA98_TDS_Construction_Canister_Aerosol 4_16_24.pdf; /TDS/7. Construction/C-OA98 (OS24)/TDS/FORZA_V1_C-OA98_TDS_Construction_Canister_Aerosol 4_16_24.pdf"
"r160","R160 – EPOXY QUICK-SET HIGH STRENGTH TACK STRENGTH ADHESIVE","R160 – TWO PART 5-MIN EPOXY","BOND","Adhesive","Epoxy","Medium","industrial","ForzaBOND™ R160 is a two-part, epoxy adhesive with a very fast cure and a wide range of uses.","Quick Setting; High Tack Strength; Structural Bond; Chemical Resistant","Industrial Assembly; Equipment Repair; Automotive Repair; Construction","type: Two-Part Epoxy Adhesive; viscosity: Paste; solids: 100%; flashPoint: Non-Flammable; potLife: 5 minutes; cureTime: 30 minutes; temperatureRange: -40°F to +200°F; Compatible with: Metal, Plastic, Wood, Ceramic, Glass","density: 12.0 lbs/gal; pH: Neutral; color: Gray; odor: Minimal; shelfLife: 12 months; storageConditions: Store at 40-80°F, keep container sealed","/product-images/r160.png","/TDS/1. Industrial/R160/TDS/FOR EMAIL FORZA_V5_R160_TDS Industrial Sausage_1_31_24.pdf; /TDS/1. Industrial/R160/TDS/FORZA_V5_R160_TDS Industrial Sausage_1_31_24.pdf; /TDS/2. Marine/M-R420 (R160)/TDS/FOR EMAIL FORZA_V4_M-R420_TDS Marine-Sausage_7.15.25.pdf; /TDS/6. Insulation/R-R820 (R160)/TDS/FOR EMAIL FORZA_V2_R-R820_TDS Insulation Sausage_9_6_24.pdf; /TDS/6. Insulation/R-R820 (R160)/TDS/FORZA_V2_R-R820_TDS Insulation Sausage_9_6_24.pdf; /TDS/7. Construction/C-R560 (R160)/TDS/FOR EMAIL FORZA_V1_C-R560_TDS Construction-Sausage_6.26.24.pdf; /TDS/7. Construction/C-R560 (R160)/TDS/FORZA_V1_C-R560_TDS Construction-Sausage_6.26.24.pdf"
"r221","R221 – TWO-PART 1:1 MODIFIED EPOXY ADHESIVE","R221 – TWO-PART MODIFIED EPOXY ADHESIVE","BOND","Adhesive","Epoxy","Medium","industrial","ForzaBOND™ R221 is a two-part modified epoxy adhesive with moderate cure and a wide range of purposes.","1:1 Mix Ratio; High Strength; Chemical Resistant; Temperature Resistant","Structural Bonding; Industrial Assembly; Equipment Repair; Construction","type: Two-Part Modified Epoxy; viscosity: Paste; solids: 100%; flashPoint: Non-Flammable; potLife: 20 minutes; cureTime: 4-8 hours; temperatureRange: -40°F to +250°F; Compatible with: Metal, Plastic, Wood, Ceramic, Composite","density: 11.8 lbs/gal; pH: Neutral; color: Gray; odor: Minimal; shelfLife: 15 months; storageConditions: Store at 40-80°F, keep container sealed","/product-images/r221.png","/TDS/1. Industrial/R221/TDS/FOR EMAIL FORZA_V4_R221_TDS Industrial Drum_6_18_25.pdf; /TDS/1. Industrial/R221/TDS/FORZA_V4_R221_TDS Industrial Drum_6_18_25.pdf; /TDS/2. Marine/M-R445 (R221)/TDS/FOR EMAIL FORZA_V4_M-R445_TDS Marine_7.10.25.pdf; /TDS/3. Transportation/T-R679 (R221)/TDS/FOR EMAIL FORZA_V2_T-R679_TDSTransportation 8.19.24.pdf; /TDS/7. Construction/C-R552 (R221)/TDS/FOR EMAIL FORZA_V1_C-R552_TDSConstructionDrum8.19.24.pdf; /TDS/7. Construction/C-R552 (R221)/TDS/FORZA_V1_C-R552_TDSConstructionDrum8.19.24.pdf"
"r519","R519 – FAST ACTING TWO-PART METHACRYLATE ADHESIVE","R519 – TWO-PART METHACRYLATE ADHESIVE","BOND","Adhesive","Epoxy","Medium","industrial","ForzaBOND™ R519 is a 2-part methacrylate adhesive designed to bond a wide range of substrates.","Fast Acting; High Strength; Rapid Cure; Versatile","Rapid Assembly; Industrial Bonding; Equipment Repair; Automotive Assembly","type: Two-Part Methacrylate; viscosity: Liquid; solids: 100%; flashPoint: Non-Flammable; potLife: 3 minutes; cureTime: 10-15 minutes; temperatureRange: -40°F to +180°F; Compatible with: Metal, Plastic, Wood, Ceramic, Glass","density: 9.2 lbs/gal; pH: Neutral; color: Clear to Amber; odor: Mild; shelfLife: 12 months; storageConditions: Store at 40-80°F, keep container sealed","/product-images/r519.png","/TDS/1. Industrial/R519/TDS/FOR EMAIL FORZA_V2_R519_TDS Industrial Drum_2_6_24.pdf; /TDS/1. Industrial/R519/TDS/FORZA_V2_R519_TDS Industrial Drum_2_6_24.pdf; /TDS/2. Marine/M-R478 (R519)/TDS/FOR EMAIL FORZA_V2_M-R478_TDS Marine_6.26.24.pdf; /TDS/2. Marine/M-R478 (R519)/TDS/FORZA_V2_M-R478_TDS Marine_6.26.24.pdf; /TDS/3. Transportation/T-R785 (R519)/FOR EMAIL FORZA_V2_T-R785_TDSTransportation Drum8.19.24.pdf; /TDS/7. Construction/C-R329 (R519)/TDS/FOR EMAIL FORZA_V1_C-R329_TDSConstructionDrum8.19.24.pdf; /TDS/7. Construction/C-R329 (R519)/TDS/FORZA_V1_C-R329_TDSConstructionDrum8.19.24.pdf"
"r529","R529 – STRUCTURAL ANCHORING EPOXY","R529 – STRUCTURAL ANCHORING EPOXY","BOND","Resin","Epoxy","High","industrial","ForzaBOND™ R529 anchor system is a pure epoxy mortar with ETA-option 1 approval, for use in cracked and untracked concrete and is approved to the highest international standards.","Structural Strength; High Load Capacity; Chemical Resistant; Weather Resistant","Structural Anchoring; Concrete Repair; Heavy Equipment; Construction","type: Structural Anchoring Epoxy; viscosity: Thick Paste; solids: 100%; flashPoint: Non-Flammable; potLife: 15 minutes; cureTime: 6-12 hours; temperatureRange: -40°F to +250°F; Compatible with: Concrete, Steel, Masonry, Stone, Metal","density: 13.5 lbs/gal; pH: Neutral; color: Gray; odor: Minimal; shelfLife: 18 months; storageConditions: Store at 40-80°F, keep container sealed","/product-images/r529.png",""
"s228","S228 – ADHESIVE PRIMER AND PROMOTER","S228 – TAPE PRIMER AND ADHESION PROMOTER","BOND","Tape","Acrylic (incl. PSA)","Medium","industrial","ForzaBOND™ S228 is a primer to increase adhesive performance.","Surface Preparation; Enhanced Adhesion; Fast Drying; Versatile","Surface Preparation; Automotive Assembly; Electronics; Industrial Bonding","type: Adhesive Primer and Promoter; viscosity: Low Viscosity Liquid; solids: 15-20%; flashPoint: >150°F; potLife: 4 hours; cureTime: 10-15 minutes; temperatureRange: -20°F to +160°F; Compatible with: Metal, Plastic, Glass, Ceramic, Difficult Surfaces","density: 7.5 lbs/gal; pH: 6.0-7.0; color: Clear to Amber; odor: Mild; shelfLife: 12 months; storageConditions: Store at 50-80°F, keep container closed","/product-images/s228.png","/TDS/3. Transportation/T-S596 (S228)/FOR EMAIL FORZA_V4_T-S596_TDS_Transportation_1.9.25.pdf"
"fc-car","FC-CAR – CITRUS-BASED ADHESIVE REMOVER / CLEANER","FC-CAR – CITRUS-BASED ADHESIVE REMOVER / CLEANER","BOND","Adhesive","Acrylic (incl. PSA)","Medium","industrial","ForzaCLEAN™ FC-CAR As part of our Cleaners range, FC-CAR is suitable for use on most surfaces.","Citrus Based; Safe Handling; Effective Removal; Low Toxicity","Adhesive Removal; Surface Cleaning; Equipment Maintenance; Surface Preparation","type: Adhesive Remover and Cleaner; viscosity: Liquid; solids: 0%; flashPoint: >150°F; potLife: Unlimited; cureTime: N/A; temperatureRange: 40°F to +120°F; Compatible with: Metal, Plastic, Glass, Wood, Fabric","density: 7.8 lbs/gal; pH: 6.5-7.5; color: Clear to Amber; odor: Citrus; shelfLife: 24 months; storageConditions: Store at 40-80°F, keep container closed","/product-images/fc-car.png",""
"m-os789","M-OS789 – MULTI-PURPOSE HYBRID POLYMER SEALANT","M-OS789 NON-HAZARDOUS, HIGH-STRENGTH, SINGLE-PART, MOISTURE CURE SEALANT","SEAL","Sealant","Silicone","Medium","marine","ForzaSEAL™ M-OS789 is a non-hazardous, high-strength, single-part moisture cure sealant.","Marine Grade; Salt Water Resistant; UV Stable; Flexible; Weather Resistant","Marine Sealing; Boat Hulls; Deck Sealing; Marine Equipment; Offshore Structures","type: Hybrid Polymer Sealant; viscosity: Thixotropic Paste; solids: 100%; flashPoint: Non-Flammable; potLife: 30 minutes; cureTime: 24-72 hours; temperatureRange: -40°F to +200°F; Compatible with: Metal, Glass, Plastic, Wood, Concrete, Fiberglass","density: 12.8 lbs/gal; pH: Neutral; color: Gray; odor: Minimal; shelfLife: 12 months; storageConditions: Store at 40-80°F, keep container sealed","/product-images/m-os789.png","/TDS/2. Marine/M-OS789 (OS2)/TDS/FOR EMAIL FORZA_V7_M-OS789_TDS Industrial Sausage_1_31_24.pdf; /TDS/2. Marine/M-OS789 (OS2)/TDS/FORZA_V7_M-OS789_TDS Industrial Sausage_1_31_24.pdf"
"m-os796","M-OS796 – FAST-SKIN MULTI-PURPOSE HYBRID POLYMER SEALANT","M-OS796 FAST-SKIN MULTI-PURPOSE HYBRID POLYMER SEALANT","SEAL","Sealant","Silicone","Medium","marine","ForzaSEAL™ M-OS796 is a non-hazardous, moisture cure sealant.","Fast Skin; Marine Grade; Salt Water Resistant; UV Stable; Quick Cure","Marine Sealing; Boat Hulls; Deck Sealing; Marine Equipment; Offshore Structures","type: Fast-Skin Hybrid Polymer Sealant; viscosity: Thixotropic Paste; solids: 100%; flashPoint: Non-Flammable; potLife: 20 minutes; cureTime: 12-48 hours; temperatureRange: -40°F to +200°F; Compatible with: Metal, Glass, Plastic, Wood, Concrete, Fiberglass","density: 12.5 lbs/gal; pH: Neutral; color: Gray; odor: Minimal; shelfLife: 12 months; storageConditions: Store at 40-80°F, keep container sealed","/product-images/m-os796.png","/TDS/2. Marine/M-OS796 (OS16)/TDS/FOR EMAIL FORZA_V4_M-OS796_TDS_Marine_6-26-24.pdf; /TDS/2. Marine/M-OS796 (OS16)/TDS/FORZA_V4_M-OS796_TDS_Marine_6-26-24.pdf"
"m-t815","M-T815 – DOUBLE-COATED ULTRA HIGH-BOND ACRYLIC FOAM TAPE","M-T815 ULTRA-HIGH BOND DOUBLE-COATED ACRYLIC FOAM TAPE","TAPE","Tape","Acrylic (incl. PSA)","Medium","marine","ForzaTAPE® M-T815 is an ultra-high bond double-coated acrylic foam tape for demanding applications.","Ultra High Bond; Marine Grade; Salt Water Resistant; UV Stable; Pressure Sensitive","Marine Assembly; Automotive Assembly; Industrial Bonding; Equipment Mounting","type: Double-Coated Acrylic Foam Tape; thickness: 0.062"" - 0.125""; width: 0.5"" - 2""; length: 36 yards per roll; temperatureRange: -40°F to +200°F; Compatible with: Metal, Plastic, Glass, Wood, Fiberglass, Composite","adhesiveType: Acrylic; foamType: Closed Cell; peelStrength: 60+ oz/in; shearStrength: 100+ psi; color: Gray; odor: Minimal; shelfLife: 24 months; storageConditions: Store at 60-80°F, keep in original packaging","/product-images/m-t815.png","/TDS/2. Marine/M-T815 (T215)/FOR EMAIL FORZA _V2_M-T815_TDSTape_6.26.24.pdf; /TDS/2. Marine/M-T815 (T215)/FORZA _V2_M-T815_TDSTape_6.26.24.pdf"
"m-t820","M-T820 – DOUBLE-COATED ULTRA HIGH BOND ACRYLIC FOAM TAPE","M-T820 ULTRA-HIGH BOND DOUBLE-COATED ACRYLIC FOAM TAPE","TAPE","Tape","Acrylic (incl. PSA)","Medium","marine","ForzaTAPE® M-T820 is an ultra-high bond double-coated acrylic foam tape for demanding applications.","Ultra High Bond; Marine Grade; Salt Water Resistant; UV Stable; Pressure Sensitive","Marine Assembly; Automotive Assembly; Industrial Bonding; Equipment Mounting","type: Double-Coated Acrylic Foam Tape; thickness: 0.062"" - 0.125""; width: 0.5"" - 2""; length: 36 yards per roll; temperatureRange: -40°F to +200°F; Compatible with: Metal, Plastic, Glass, Wood, Fiberglass, Composite","adhesiveType: Acrylic; foamType: Closed Cell; peelStrength: 60+ oz/in; shearStrength: 100+ psi; color: Gray; odor: Minimal; shelfLife: 24 months; storageConditions: Store at 60-80°F, keep in original packaging","/product-images/m-t820.png","/TDS/2. Marine/M-T820 (T220)/FOR EMAIL FORZA _V3_M-T820_TDSTape_6.26.24.pdf; /TDS/2. Marine/M-T820 (T220)/FORZA _V3_M-T820_TDSTape_6.26.24.pdf"
"cc501","CC501 – LOW VOC, CA COMPLIANT, AGGRESSIVE, FAST DRYING PRESSURE SENSITIVE ADHESIVE","CC501 – LOW VOC, CA COMPLIANT, AGGRESSIVE, AND FAST DRYING PRESSURE SENSITIVE ADHESIVE","BOND","Adhesive","Epoxy","Low","construction","ForzaBOND™ CC501 is a Low VOC, CA Compliant, aggressive, and fast-drying, pressure sensitive adhesive designed to bond a vast range of substrates.","Low VOC; CA Compliant; Fast Drying; Aggressive Bond","Construction Bonding; Industrial Assembly; Furniture Manufacturing; Packaging","type: Pressure Sensitive Adhesive; viscosity: 500-800 cps; solids: 25-35%; flashPoint: >150°F; potLife: 4 hours; cureTime: 2-4 hours; temperatureRange: -20°F to +180°F; Compatible with: Wood, Metal, Plastic, Fabric, Paper","density: 7.8 lbs/gal; pH: 6.5-7.0; color: Clear to Light Amber; odor: Low; shelfLife: 12 months; storageConditions: Store at 50-80°F, keep container sealed","/product-images/cc501.png","/TDS/7. Construction/CC501 (IC946)/TDS/FOR EMAIL FORZA_V1_CC501_TDS Construction Canister_Aerosol 1_18_24.pdf; /TDS/7. Construction/CC501 (IC946)/TDS/FORZA_V1_CC501_TDS Construction Canister_Aerosol 1_18_24.pdf"
"cc507","CC507 – HIGH-TEMP STYRENE SAFE PRESSURE SENSITIVE ADHESIVE","CC507 – HIGH TEMP STYRENE SAFE PRESSURE SENSITIVE ADHESIVE","BOND","Adhesive","Epoxy","Low","construction","ForzaBOND™ CC507 is a high temp, styrene safe, pressure sensitive adhesive.","High-Temp Resistant; Styrene Safe; Chemical Resistant; Durable","High-Temp Bonding; Industrial Assembly; Automotive Parts; Construction","type: High-Temp Pressure Sensitive Adhesive; viscosity: 600-900 cps; solids: 30-40%; flashPoint: >180°F; potLife: 6 hours; cureTime: 4-8 hours; temperatureRange: -30°F to +200°F; Compatible with: Styrene, Plastic, Metal, Wood, Fabric","density: 8.2 lbs/gal; pH: 6.8-7.2; color: Clear to Light Amber; odor: Minimal; shelfLife: 15 months; storageConditions: Store at 50-80°F, avoid direct sunlight","/product-images/cc507.png","/TDS/7. Construction/CC507 (IC947)/TDS/FOR EMAIL FORZA_V1_CC507_TDS Construction Canister_1_3_24.pdf; /TDS/7. Construction/CC507 (IC947)/TDS/FORZA_V1_CC507_TDS Construction Canister_1_3_24.pdf"
"cc513","CC513 – NON FLAM/NON-METHYLENE CHLORIDE CONTRACT ADHESIVE","CC513 – NON FLAMMABLE/NON-METHYLENE CHLORIDE CONTACT ADHESIVE","BOND","Adhesive","Epoxy","Low","construction","ForzaBOND™ C-C513 is a non-flammable, non-methylene chloride contact adhesive.","Non-Flammable; Safe Handling; Chemical Resistant; Durable","Construction Bonding; Industrial Assembly; Furniture Manufacturing; Automotive","type: Non-Flammable Contact Adhesive; viscosity: 800-1200 cps; solids: 25-35%; flashPoint: Non-Flammable; potLife: 8 hours; cureTime: 24-48 hours; temperatureRange: -20°F to +160°F; Compatible with: Wood, Metal, Plastic, Fabric, Fiberglass","density: 8.0 lbs/gal; pH: 6.5-7.0; color: Clear to Light Blue; odor: Minimal; shelfLife: 12 months; storageConditions: Store at 50-80°F, keep container closed","/product-images/cc513.png","/TDS/7. Construction/CC513 (IC932)/TDS/FOR EMAIL FORZA_V2_CC513_TDSConstructionCanister_5.14.25.pdf; /TDS/7. Construction/CC513 (IC932)/TDS/FORZA_V2_CC513_TDSConstructionCanister_5.14.25.pdf"
